City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,selfoss,63.9331,-20.9971,277.06,71,99,16.07,IS,1684884064
278,constantia,44.1833,28.65,286.53,86,4,2.93,RO,1684884033
279,nagqu,31.5,92.0,274.38,54,100,1.01,CN,1684884063
280,kidal,18.4411,1.4078,307.71,15,99,4.88,ML,1684884351
281,udachny,66.4167,112.4,276.18,74,59,5.53,RU,1684884099
282,ciudad lazaro cardenas,17.9583,-102.2,303.39,61,47,4.73,MX,1684884419
283,port shepstone,-30.7414,30.455,289.46,73,7,3.76,ZA,1684884419
284,harstad,68.799,16.5293,279.81,91,53,9.39,NO,1684884024
285,balotra,25.8333,72.2333,302.07,68,85,7.32,IN,1684884119
286,holualoa,19.6228,-155.9522,299.06,77,75,4.12,US,1684884023
287,coro,11.4045,-69.6734,300.66,81,68,5.02,VE,1684884420
288,mont-dore,-22.2833,166.5833,297.14,99,42,5.83,NC,1684884147
289,la breita,-4.2608,-80.8875,299.12,73,100,1.73,PE,1684884421
290,puerto ayacucho,5.6639,-67.6236,299.8,84,63,0.41,VE,1684884421
291,nadi,-17.8,177.4167,300.15,69,75,3.09,FJ,1684884421
292,ponta delgada,37.7333,-25.6667,290.55,72,20,6.69,PT,1684884421
293,springs,-26.25,28.4,284.08,92,5,3.07,ZA,1684884148
294,lerwick,60.1545,-1.1494,283.15,93,100,9.83,GB,1684884124
295,hovd,48.0056,91.6419,280.51,54,23,1.82,MN,1684884422
296,vila do maio,15.1333,-23.2167,296.59,79,71,6.5,CV,1684884422
297,khovd,48.0056,91.6419,280.51,54,23,1.82,MN,1684884144
298,sogndal,61.2283,7.1003,281.36,75,40,0.0,NO,1684884422
299,kondratovo,57.9804,56.1066,283.31,66,0,1.0,RU,1684884423
300,ewo,-0.8725,14.8206,298.51,79,99,1.14,CG,1684884423
301,swift current,50.2834,-107.8014,297.6,33,0,4.63,CA,1684884257
302,hotan,37.0997,79.9269,293.53,26,23,3.25,CN,1684884424
303,castanos,26.7833,-101.4167,307.79,33,89,3.96,MX,1684884424
304,ayancik,41.9447,34.5861,288.28,93,89,1.78,TR,1684884424
305,san felice circeo,41.2372,13.0942,293.66,81,76,1.1,IT,1684884424
306,tarusa,54.7233,37.1767,286.07,98,100,1.36,RU,1684884424
307,inverness,57.4791,-4.224,284.25,74,96,1.34,GB,1684884170
308,howrah,22.5892,88.3103,298.15,83,40,2.57,IN,1684884425
309,taber,49.8167,-112.1518,297.26,15,67,6.69,CA,1684884425
310,geraldton,-28.7667,114.6,290.38,94,100,4.63,AU,1684883980
311,grand falls-windsor,48.9332,-55.6649,280.65,55,1,0.89,CA,1684884405
312,acoyapa,11.9703,-85.1711,307.2,48,100,3.66,NI,1684884426
313,taltal,-25.4,-70.4833,290.33,82,27,0.08,CL,1684884067
314,suva,-18.1416,178.4415,299.86,78,75,2.57,FJ,1684884072
315,alofi,-19.0595,-169.9187,300.09,65,40,3.09,NU,1684884060
316,vadso,70.0744,29.7487,281.64,100,75,1.54,NO,1684884056
317,ust-tsilma,65.441,52.1498,284.02,90,9,1.41,RU,1684884427
318,hobyo,5.3505,48.5268,300.84,77,100,5.86,SO,1684884107
319,rmi capitol,7.0893,171.3805,301.42,78,67,6.41,MH,1684884427
320,howard springs,-12.497,131.047,296.1,73,1,4.63,AU,1684884113
321,tres palos,18.1833,-101.6167,305.94,38,37,3.45,MX,1684884428
322,hadibu,12.65,54.0333,302.13,72,28,2.9,YE,1684884075
323,ouadda,8.0777,22.4007,295.15,68,92,1.36,CF,1684884428
324,jackson,42.4165,-122.8345,294.48,33,0,5.14,US,1684884428
325,glace bay,46.1969,-59.957,281.96,74,75,3.09,CA,1684884429
326,ola,59.5833,151.2833,278.23,97,100,3.0,RU,1684884062
327,tadine,-21.55,167.8833,296.63,53,71,7.28,NC,1684884429
328,midvagur,62.0511,-7.1939,281.61,71,75,10.29,FO,1684884029
329,tongchuanshi,35.0806,109.0897,285.41,71,0,0.97,CN,1684884429
330,cooma,-36.2333,149.1333,280.65,46,29,0.64,AU,1684884430
331,sungai penuh,-2.0833,101.3833,290.69,98,68,0.68,ID,1684884430
332,enewetak,11.3474,162.3373,301.62,72,100,6.98,MH,1684884069
333,dongola,19.1667,30.4833,306.48,12,22,3.92,SD,1684884431
334,carauari,-4.8828,-66.8958,297.74,96,84,1.21,BR,1684884431
335,kongsvinger,60.1905,11.9977,281.52,56,21,1.91,NO,1684884277
336,cristalina,-16.7686,-47.6136,287.87,65,85,2.16,BR,1684884431
337,remire-montjoly,4.9167,-52.2667,299.17,89,20,1.03,GF,1684884315
